,year,region_sdg,stat,amount
0,2000,Australia and New Zealand,wat_share_sm_u,0.8143102310114496
1,2000,Central and Southern Asia,wat_share_sm_u,0.2085663330453645
2,2000,Eastern and South-Eastern Asia,wat_share_sm_u,0.6183976587820361
3,2000,Europe and Northern America,wat_share_sm_u,0.5516783698676657
4,2000,Latin America and the Caribbean,wat_share_sm_u,0.47938160259448315
5,2000,Northern Africa and Western Asia,wat_share_sm_u,0.2715498746835801
6,2000,Oceania,wat_share_sm_u,0.14745616306431072
7,2000,Sub-Saharan Africa,wat_share_sm_u,0.28523527571196755
8,2001,Australia and New Zealand,wat_share_sm_u,0.8144006916278725
9,2001,Central and Southern Asia,wat_share_sm_u,0.20914733266319985
10,2001,Eastern and South-Eastern Asia,wat_share_sm_u,0.6213087006925363
11,2001,Europe and Northern America,wat_share_sm_u,0.5529658040918131
12,2001,Latin America and the Caribbean,wat_share_sm_u,0.4799689803409182
13,2001,Northern Africa and Western Asia,wat_share_sm_u,0.2715411399501208
14,2001,Oceania,wat_share_sm_u,0.14704283112204974
15,2001,Sub-Saharan Africa,wat_share_sm_u,0.2844280864750976
16,2002,Australia and New Zealand,wat_share_sm_u,0.8140437990919235
17,2002,Central and Southern Asia,wat_share_sm_u,0.20888306666562062
18,2002,Eastern and South-Eastern Asia,wat_share_sm_u,0.6241530800643758
19,2002,Europe and Northern America,wat_share_sm_u,0.5543152626035102
20,2002,Latin America and the Caribbean,wat_share_sm_u,0.4804896093881564
21,2002,Northern Africa and Western Asia,wat_share_sm_u,0.27153115639661857
22,2002,Oceania,wat_share_sm_u,0.14654130408119667
23,2002,Sub-Saharan Africa,wat_share_sm_u,0.285755944032675
24,2003,Australia and New Zealand,wat_share_sm_u,0.8143265615527261
25,2003,Central and Southern Asia,wat_share_sm_u,0.20854512405331319
26,2003,Eastern and South-Eastern Asia,wat_share_sm_u,0.6272019111769798
27,2003,Europe and Northern America,wat_share_sm_u,0.5556532864190243
28,2003,Latin America and the Caribbean,wat_share_sm_u,0.4810815873284667
29,2003,Northern Africa and Western Asia,wat_share_sm_u,0.271573051199069
30,2003,Oceania,wat_share_sm_u,0.14590735672230937
31,2003,Sub-Saharan Africa,wat_share_sm_u,0.2871016729404642
32,2004,Australia and New Zealand,wat_share_sm_u,0.8149908854321641
33,2004,Central and Southern Asia,wat_share_sm_u,0.20872619370034254
34,2004,Eastern and South-Eastern Asia,wat_share_sm_u,0.6303058151502638
35,2004,Europe and Northern America,wat_share_sm_u,0.5567771190690068
36,2004,Latin America and the Caribbean,wat_share_sm_u,0.4817074617829536
37,2004,Northern Africa and Western Asia,wat_share_sm_u,0.2715479088288766
38,2004,Oceania,wat_share_sm_u,0.1453361197917226
39,2004,Sub-Saharan Africa,wat_share_sm_u,0.2896088882585595
40,2005,Australia and New Zealand,wat_share_sm_u,0.8161547611202948
41,2005,Central and Southern Asia,wat_share_sm_u,0.20964418704825744
42,2005,Eastern and South-Eastern Asia,wat_share_sm_u,0.6334494987672916
43,2005,Europe and Northern America,wat_share_sm_u,0.5579149022370533
44,2005,Latin America and the Caribbean,wat_share_sm_u,0.4823404244577455
45,2005,Northern Africa and Western Asia,wat_share_sm_u,0.27125616415878334
46,2005,Oceania,wat_share_sm_u,0.14483777497993117
47,2005,Sub-Saharan Africa,wat_share_sm_u,0.2917287025423842
48,2006,Australia and New Zealand,wat_share_sm_u,0.8177961069123961
49,2006,Central and Southern Asia,wat_share_sm_u,0.21057895456582146
50,2006,Eastern and South-Eastern Asia,wat_share_sm_u,0.6365946161565524
51,2006,Europe and Northern America,wat_share_sm_u,0.5592170780414557
52,2006,Latin America and the Caribbean,wat_share_sm_u,0.4829799229158435
53,2006,Northern Africa and Western Asia,wat_share_sm_u,0.2694371968263451
54,2006,Oceania,wat_share_sm_u,0.14434365994458967
55,2006,Sub-Saharan Africa,wat_share_sm_u,0.294192838512482
56,2007,Australia and New Zealand,wat_share_sm_u,0.8202783650907963
57,2007,Central and Southern Asia,wat_share_sm_u,0.2114592032227179
58,2007,Eastern and South-Eastern Asia,wat_share_sm_u,0.639691589550944
59,2007,Europe and Northern America,wat_share_sm_u,0.5602204483466566
60,2007,Latin America and the Caribbean,wat_share_sm_u,0.48358264122447114
61,2007,Northern Africa and Western Asia,wat_share_sm_u,0.26678266043191606
62,2007,Oceania,wat_share_sm_u,0.14384426451945412
63,2007,Sub-Saharan Africa,wat_share_sm_u,0.29737765789117665
64,2008,Australia and New Zealand,wat_share_sm_u,0.8231650862429526
65,2008,Central and Southern Asia,wat_share_sm_u,0.21231323597916837
66,2008,Eastern and South-Eastern Asia,wat_share_sm_u,0.6427868680249025
67,2008,Europe and Northern America,wat_share_sm_u,0.5609791282647316
68,2008,Latin America and the Caribbean,wat_share_sm_u,0.4842007705494729
69,2008,Northern Africa and Western Asia,wat_share_sm_u,0.26726941483840694
70,2008,Oceania,wat_share_sm_u,0.14341060359450553
71,2008,Sub-Saharan Africa,wat_share_sm_u,0.3002854889200478
72,2009,Australia and New Zealand,wat_share_sm_u,0.8258466838586227
73,2009,Central and Southern Asia,wat_share_sm_u,0.21323915865852985
74,2009,Eastern and South-Eastern Asia,wat_share_sm_u,0.6458761239848005
75,2009,Europe and Northern America,wat_share_sm_u,0.5615058536357613
76,2009,Latin America and the Caribbean,wat_share_sm_u,0.4848073176904499
77,2009,Northern Africa and Western Asia,wat_share_sm_u,0.2685232965674011
78,2009,Oceania,wat_share_sm_u,0.14291079510230895
79,2009,Sub-Saharan Africa,wat_share_sm_u,0.30262253069905337
80,2010,Australia and New Zealand,wat_share_sm_u,0.8281150214005539
81,2010,Central and Southern Asia,wat_share_sm_u,0.21425508592179598
82,2010,Eastern and South-Eastern Asia,wat_share_sm_u,0.6489658632123998
83,2010,Europe and Northern America,wat_share_sm_u,0.5621716914190645
84,2010,Latin America and the Caribbean,wat_share_sm_u,0.48535236356234884
85,2010,Northern Africa and Western Asia,wat_share_sm_u,0.2702204427538226
